iter	RMSE
0	0.9844765338
1	0.9716143149
2	0.960563431
3	0.9508204007
4	0.9423538316
5	0.9347871824
6	0.9282485547
7	0.9226306494
8	0.9173184111
9	0.9127376437
10	0.908639686
11	0.9051428311
12	0.9018918202
13	0.8988486845
14	0.89606797
15	0.8936292087
16	0.8913760691
17	0.8892019788
18	0.8870333697
19	0.8850638714
20	0.8833552613
21	0.8818095146
22	0.8802077624
23	0.8788469233
24	0.8774719455
25	0.8762741208
26	0.8750461585
27	0.8740348048
28	0.8729786612
29	0.8719360329
30	0.8709936581
31	0.8701576496
32	0.8693184963
33	0.8685367524
34	0.8678513639
35	0.8670788786
36	0.8664732284
37	0.8658983446
38	0.8652609351
39	0.8647119309
40	0.8642215678
41	0.8637242175
42	0.8632119165
43	0.8626980718
44	0.8622044832
45	0.8617971858
46	0.8613167365
47	0.860885421
48	0.8604633093
49	0.8599603763
50	0.8595593589
51	0.859238362
52	0.8588530717
53	0.8584880589
54	0.8581839036
55	0.8578941144
56	0.8575913975
57	0.8573031381
58	0.8569611317
59	0.8567123579
60	0.8564118411
61	0.8561511038
62	0.85589472
63	0.8556334219
64	0.8553532128
65	0.8550909425
66	0.8548706347
67	0.854646436
68	0.8544298889
69	0.8541656392
70	0.8539560385
71	0.853721257
72	0.8534777625
73	0.8532702969
74	0.8530811776
75	0.8528663361
76	0.8526790688
77	0.8524793796
78	0.8522577087
79	0.8520586494
80	0.8518763062
81	0.8516905627
82	0.851534591
83	0.8513396167
84	0.8511737744
85	0.8510228553
86	0.8508568297
87	0.8506001071
88	0.8503942514
89	0.850241693
90	0.8500910142
91	0.8499243601
92	0.8497941629
93	0.849627613
94	0.8495017148
95	0.8493614225
96	0.8491609937
97	0.849015892
98	0.8488808422
99	0.8487432107
100	0.8486195387
101	0.8485012145
102	0.8483447784
103	0.8482277171
104	0.8481092162
105	0.8479854111
106	0.8478521906
107	0.8476977913
108	0.8475856867
109	0.8474813408
110	0.8473725046
111	0.8472757044
112	0.8471785673
113	0.8470843916
114	0.8469599887
115	0.8468276251
116	0.8467338177
117	0.8466093633
118	0.846494629
119	0.8463987064
120	0.8463062371
121	0.8462043014
122	0.8460566134
123	0.8459765829
124	0.8458792151
125	0.8457848947
126	0.8457026769
127	0.8456066645
128	0.8455234911
129	0.8454366786
130	0.8453552837
131	0.8452742075
132	0.845193654
133	0.8450755848
134	0.8449904815
135	0.8449190452
136	0.8448004477
137	0.8447255246
138	0.8446184569
139	0.8445168892
140	0.8444404297
141	0.8443558751
142	0.8442787065
143	0.8441785689
144	0.8441083715
145	0.844026113
146	0.8439548403
147	0.8438417479
148	0.8437643688
149	0.8437019862
150	0.8435916812
151	0.8435283044
152	0.8434596886
153	0.8433856689
154	0.8432915195
155	0.8431719568
156	0.8431081394
157	0.8430218146
158	0.8429512344
159	0.8428908786
160	0.8428051863
161	0.8427280804
162	0.8426655392
163	0.8426062272
164	0.842545601
165	0.8424912343
166	0.8424282252
167	0.8423760211
168	0.8423189818
169	0.8422565331
170	0.8421887966
171	0.842117778
172	0.8420389297
173	0.8419691684
174	0.8419232858
175	0.8418688379
176	0.8418165581
177	0.8417409188
178	0.8416801483
179	0.8416068327
180	0.8415543317
181	0.8414990402
182	0.8414202569
183	0.84135356
184	0.841275255
185	0.8411486398
186	0.8410876215
187	0.8410155666
188	0.8409480583
189	0.8408836209
190	0.8408286956
191	0.8407778279
192	0.8407401265
193	0.8406833044
194	0.840604814
195	0.8405429765
196	0.8404586864
197	0.8404041847
198	0.8403646606
199	0.8403108506
200	0.8402434499
201	0.8401715689
202	0.8401233712
203	0.8400745548
204	0.8400051231
205	0.8399445555
206	0.8398994248
207	0.8398531006
208	0.8397762986
209	0.8397264352
210	0.8396879882
211	0.8396361066
212	0.8395949031
213	0.8395538619
214	0.8394988084
215	0.8394232478
216	0.8393361331
217	0.839297586
218	0.8392151848
219	0.8391731796
220	0.8391181834
221	0.8390613748
222	0.839018252
223	0.8389640268
224	0.8389173631
225	0.8388628435
226	0.8388107053
227	0.8387671584
228	0.8387205661
229	0.8386795643
230	0.8386409459
231	0.8385872721
232	0.8385325254
233	0.838491679
234	0.8384540393
235	0.8384074706
236	0.8383646022
237	0.8383252699
238	0.8383043276
239	0.8382636346
240	0.838201501
241	0.8381504328
242	0.8380989499
243	0.8380524439
244	0.838019353
245	0.8379784816
246	0.8379334919
247	0.8378873472
248	0.8378346954
249	0.8377927034
250	0.8377402104
251	0.8377032369
252	0.8376572442
253	0.8375673514
254	0.8375320999
255	0.8374900103
256	0.837438075
257	0.8374123326
258	0.8373786399
259	0.8373456048
260	0.83730503
261	0.8372783773
262	0.8372412598
263	0.8371856422
264	0.8371560193
265	0.8371052581
266	0.837061128
267	0.8370134929
268	0.8369699761
269	0.8369428593
270	0.8369117441
271	0.8368713956
272	0.8368424621
273	0.8368173197
274	0.8367897034
275	0.8367490605
276	0.8367267596
277	0.8366969142
278	0.8366454656
279	0.8366045683
280	0.8365814802
281	0.8365496918
282	0.8365212832
283	0.8364769574
284	0.8364520514
285	0.8364327941
286	0.8363984433
287	0.8363602145
288	0.8363348102
289	0.8363037135
290	0.8362757503
291	0.8362193674
292	0.8361927213
293	0.8361631044
294	0.8361313001
295	0.8361105503
296	0.8360754437
297	0.8360057211
298	0.8359718066
299	0.835934301
300	0.8359115245
301	0.8358904804
302	0.8358324208
303	0.8358001087
304	0.8357643287
305	0.8357244614
306	0.8356959835
307	0.8356715495
308	0.8356488071
309	0.8355781821
310	0.835553786
311	0.8355310817
312	0.8355016477
313	0.8354781576
314	0.8354501667
315	0.8354122248
316	0.8353829931
317	0.8353508701
318	0.8353285319
319	0.835284886
320	0.8352286014
321	0.8352050623
322	0.8351767732
323	0.8351449313
324	0.8351236614
325	0.8350996651
326	0.8350810788
327	0.8350540659
328	0.8350266804
329	0.8350004507
330	0.834964182
331	0.834935513
332	0.8348930033
333	0.834873834
334	0.8348467732
335	0.8348264873
336	0.8347852116
337	0.8347659572
338	0.8347501319
339	0.8347004227
340	0.8346606285
341	0.8346302547
342	0.8346026487
343	0.8345744631
344	0.8345437969
345	0.8345174693
346	0.8344895289
347	0.8344689863
348	0.83443596
349	0.8344075208
350	0.8343804449
351	0.8343534507
352	0.8343327394
353	0.8343121516
354	0.8342847831
355	0.8342390981
356	0.8342178051
357	0.8341605801
358	0.834130064
359	0.8341065766
360	0.8340758932
361	0.8340514531
362	0.8340280462
363	0.8340012887
364	0.8339842909
365	0.8339682853
366	0.8339473163
367	0.8339136076
368	0.8338669095
369	0.8338410156
370	0.8338225667
371	0.8337961335
372	0.8337605985
373	0.8337224556
374	0.8336913857
375	0.8336671826
376	0.8336474886
377	0.833632635
378	0.8336104163
379	0.8335715217
380	0.833532915
381	0.8335115626
382	0.8334741946
383	0.8334431154
384	0.8334167116
385	0.833394694
386	0.8333656813
387	0.833329507
388	0.8333172555
389	0.8333013199
390	0.8332629076
391	0.8332400167
392	0.8332146414
393	0.8331921631
394	0.833178088
395	0.8331555673
396	0.8331275812
397	0.8331074605
398	0.8330828264
399	0.8330618351
400	0.8330377793
401	0.8330255235
402	0.8330043651
403	0.8329863117
404	0.8329701213
405	0.8329518188
406	0.8329345511
407	0.8329099119
408	0.8328865971
409	0.8328672574
410	0.8328480001
411	0.832826423
412	0.8328079102
413	0.8327900597
414	0.832771339
415	0.8327569669
416	0.8327408134
417	0.8327121507
418	0.8326796347
419	0.8326540766
420	0.8326302576
421	0.832616173
422	0.8325844403
423	0.8325655493
424	0.8325445035
425	0.8325242444
426	0.8325089151
427	0.8324775512
428	0.8324479679
429	0.8324291566
430	0.8324209939
431	0.8323955936
432	0.8323644327
433	0.8323475672
434	0.8323080334
435	0.8322936947
436	0.8322759575
437	0.8322574324
438	0.832237415
439	0.832216278
440	0.8322009845
441	0.8321856077
442	0.8321638892
443	0.8321368231
444	0.8321176318
445	0.8321059426
446	0.8320910616
447	0.8320761388
448	0.8320635371
449	0.8320518058
450	0.8320336903
451	0.8320243215
452	0.8319985775
453	0.8319890839
454	0.8319756932
455	0.8319548813
456	0.8319416559
457	0.8319141265
458	0.8318952203
459	0.8318781379
460	0.8318621748
461	0.8318451747
462	0.8318260595
463	0.8318027144
464	0.8317797004
465	0.8317709922
466	0.8317430839
467	0.8317174971
468	0.8316913703
469	0.8316759427
470	0.8316614272
471	0.8316494828
472	0.8316356719
473	0.8316232295
474	0.8316068467
475	0.8315915834
476	0.8315736238
477	0.8315616782
478	0.8315506449
479	0.831528495
480	0.8315080452
481	0.8314893786
482	0.8314770169
483	0.8314592208
484	0.8314455726
485	0.8314273195
486	0.8314026771
487	0.831392264
488	0.8313779095
489	0.8313577464
490	0.8313496147
491	0.8313311935
492	0.8312971297
493	0.8312855951
494	0.8312765083
495	0.8312610729
496	0.8312446415
497	0.8312246826
498	0.831208209
499	0.831176464
500	0.8311662971
501	0.8311535572
502	0.8311312306
503	0.8311153776
504	0.8311038404
505	0.8310856213
506	0.831064206
507	0.8310384737
508	0.8310216228
509	0.8310087146
510	0.830994561
511	0.8309692002
512	0.8309574119
513	0.8309450008
514	0.830932382
515	0.8309223781
516	0.8309116684
517	0.830896766
518	0.8308781272
519	0.8308522646
520	0.8308325869
521	0.8308198419
522	0.8307931056
523	0.8307812318
524	0.8307597256
525	0.8307454017
526	0.8307187877
527	0.8307058333
528	0.8306948301
529	0.830676602
530	0.8306553838
531	0.8306427191
532	0.8306343727
533	0.8306079212
534	0.8305968337
535	0.8305877809
536	0.8305592515
537	0.8305459624
538	0.8305319255
539	0.8305203386
540	0.830507298
541	0.8304893565
542	0.8304767308
543	0.8304626512
544	0.8304412614
545	0.8304266828
546	0.8304172543
547	0.8304060397
548	0.8303839423
549	0.8303723118
550	0.830352872
551	0.8303265362
552	0.8303119555
553	0.830293719
554	0.8302777669
555	0.830259405
556	0.8302513456
557	0.8302439923
558	0.8302334401
559	0.8302269591
560	0.8302135815
561	0.8301956337
562	0.830185704
563	0.8301687943
564	0.8301587396
565	0.8301510116
566	0.83013863
567	0.8301092957
568	0.8300967888
569	0.8300747248
570	0.8300625082
571	0.8300531172
572	0.8300415237
573	0.8300157181
574	0.8299978907
575	0.8299835536
576	0.8299675956
577	0.8299549619
578	0.8299435332
579	0.8299348889
580	0.8299119477
581	0.8299004769
582	0.829875332
583	0.8298564624
584	0.8298449493
585	0.8298312746
586	0.8298132769
587	0.8297977728
588	0.829790374
589	0.8297740381
590	0.8297550415
591	0.8297360861
592	0.8297248622
593	0.8297133057
594	0.8296916471
595	0.8296741869
596	0.8296655813
597	0.8296414271
598	0.8296232589
599	0.829607876
600	0.8295934906
601	0.8295687938
602	0.8295517051
603	0.8295368198
604	0.8295266744
605	0.8295033477
606	0.8294904159
607	0.8294825985
608	0.8294697911
609	0.8294601438
610	0.8294386866
611	0.8294308271
612	0.8294180189
613	0.8293922356
614	0.8293810487
615	0.8293754344
616	0.8293598805
617	0.8293501488
618	0.8293429955
619	0.8293245297
620	0.8293029857
621	0.829282689
622	0.8292680069
623	0.8292470438
624	0.8292374771
625	0.8292206312
626	0.8292117297
627	0.8292018715
628	0.8291902661
629	0.8291789101
630	0.8291717553
631	0.8291650996
632	0.8291568216
633	0.829149209
634	0.8291341501
635	0.8291245405
636	0.8291108956
637	0.8291022842
638	0.8290860179
639	0.8290681289
640	0.8290483672
641	0.8290364684
642	0.8290286051
643	0.8290179126
644	0.8290082185
645	0.8289939059
646	0.8289820895
647	0.8289709803
648	0.8289604535
649	0.8289491775
650	0.8289347391
651	0.8289274158
652	0.8289109797
653	0.8288947097
654	0.8288872612
655	0.8288778568
656	0.8288696591
657	0.828859131
658	0.8288475208
659	0.8288289191
660	0.8288181408
661	0.8288089437
662	0.8288036168
663	0.8287953768
664	0.8287811438
665	0.8287704064
666	0.8287514285
667	0.8287353218
668	0.828728954
669	0.8287155523
670	0.8287034406
671	0.8286903714
672	0.8286715997
673	0.8286619431
674	0.8286528276
675	0.8286451688
676	0.8286378845
677	0.8286228163
678	0.8286173634
679	0.8286097459
680	0.8286031273
681	0.8285921379
682	0.8285810235
683	0.8285725314
684	0.8285625407
685	0.8285524249
686	0.8285414765
687	0.8285169148
688	0.8285029684
