iter	Passed	Remaining
0	103	103031
1	110	55227
2	115	38524
3	121	30269
4	126	25157
5	131	21751
6	135	19287
7	140	17389
8	144	15901
9	148	14748
10	153	13758
11	157	12952
12	161	12273
13	165	11677
14	170	11194
15	174	10751
16	178	10350
17	183	10014
18	187	9698
19	191	9405
20	196	9167
21	201	8939
22	205	8716
23	209	8524
24	213	8336
25	218	8175
26	222	8023
27	227	7881
28	231	7755
29	236	7636
30	240	7516
31	244	7402
32	248	7291
33	252	7185
34	257	7094
35	261	6989
36	265	6899
37	269	6818
38	273	6733
39	277	6663
40	281	6583
41	285	6520
42	289	6452
43	293	6383
44	298	6326
45	302	6270
46	306	6212
47	310	6156
48	314	6100
49	319	6070
50	324	6030
51	328	5982
52	332	5944
53	337	5906
54	340	5858
55	345	5824
56	350	5792
57	354	5753
58	358	5712
59	362	5672
60	366	5636
61	369	5597
62	373	5559
63	377	5527
64	381	5492
65	385	5462
66	389	5422
67	393	5399
68	397	5364
69	401	5330
70	404	5298
71	408	5266
72	412	5238
73	416	5208
74	420	5180
75	424	5155
76	427	5125
77	431	5099
78	435	5072
79	439	5048
80	442	5023
81	446	4999
82	450	4972
83	454	4950
84	457	4927
85	461	4901
86	464	4877
87	468	4853
88	472	4834
89	475	4811
90	479	4790
91	483	4769
92	487	4749
93	490	4729
94	494	4710
95	498	4696
96	503	4685
97	507	4670
98	511	4657
99	516	4650
100	521	4645
101	526	4633
102	530	4621
103	535	4615
104	540	4606
105	544	4593
106	549	4584
107	553	4573
108	557	4560
109	562	4550
110	566	4536
111	569	4518
112	573	4505
113	577	4488
114	581	4473
115	584	4457
116	588	4444
117	592	4430
118	596	4415
119	600	4401
120	603	4384
121	607	4371
122	611	4356
123	614	4343
124	618	4331
125	622	4318
126	626	4305
127	629	4291
128	633	4279
129	637	4266
130	641	4255
131	645	4242
132	649	4232
133	653	4221
134	656	4208
135	660	4196
136	664	4185
137	668	4174
138	672	4163
139	676	4152
140	679	4139
141	683	4129
142	687	4118
143	690	4106
144	694	4097
145	698	4086
146	702	4076
147	706	4065
148	710	4056
149	714	4050
150	718	4040
151	722	4031
152	725	4018
153	730	4010
154	733	4000
155	738	3993
156	742	3985
157	745	3975
158	749	3965
159	753	3955
160	757	3946
161	760	3935
162	764	3926
163	768	3917
164	772	3907
165	775	3897
166	779	3887
167	783	3878
168	786	3868
169	790	3860
170	794	3850
171	798	3841
172	802	3834
173	805	3824
174	809	3815
175	812	3805
176	816	3797
177	820	3787
178	824	3779
179	827	3771
180	831	3764
181	835	3757
182	839	3749
183	843	3742
184	848	3736
185	852	3730
186	856	3722
187	859	3714
188	863	3707
189	867	3698
190	871	3691
191	874	3682
192	878	3674
193	882	3665
194	886	3657
195	890	3650
196	893	3643
197	897	3636
198	901	3628
199	905	3623
200	909	3615
201	913	3608
202	917	3601
203	922	3599
204	927	3596
205	931	3590
206	935	3582
207	939	3576
208	942	3568
209	946	3562
210	950	3554
211	954	3546
212	958	3539
213	961	3531
214	965	3525
215	969	3518
216	973	3511
217	976	3503
218	980	3498
219	984	3490
220	988	3484
221	992	3477
222	995	3470
223	1000	3464
224	1003	3457
225	1007	3450
226	1011	3445
227	1015	3438
228	1019	3432
229	1022	3424
230	1026	3418
231	1030	3411
232	1034	3405
233	1038	3398
234	1042	3392
235	1045	3386
236	1049	3379
237	1053	3373
238	1057	3366
239	1061	3359
240	1064	3353
241	1068	3348
242	1073	3343
243	1076	3336
244	1081	3331
245	1084	3323
246	1088	3318
247	1092	3311
248	1096	3305
249	1099	3299
250	1104	3294
251	1107	3288
252	1111	3281
253	1116	3278
254	1120	3272
255	1123	3266
256	1128	3261
257	1133	3258
258	1137	3252
259	1140	3247
260	1144	3241
261	1149	3237
262	1153	3232
263	1157	3227
264	1161	3220
265	1165	3216
266	1170	3214
267	1176	3213
268	1181	3209
269	1185	3205
270	1190	3201
271	1194	3197
272	1198	3192
273	1203	3188
274	1207	3183
275	1211	3177
276	1214	3171
277	1218	3164
278	1222	3158
279	1225	3152
280	1229	3145
281	1232	3139
282	1236	3133
283	1240	3127
284	1244	3121
285	1248	3116
286	1251	3109
287	1255	3104
288	1259	3097
289	1263	3092
290	1266	3086
291	1270	3081
292	1275	3076
293	1278	3071
294	1283	3066
295	1286	3060
296	1291	3056
297	1295	3052
298	1299	3047
299	1303	3041
300	1307	3035
301	1311	3030
302	1316	3027
